"Population estimates on July 1st, by age and sex 1 2 3 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 17-10-0005-01 (formerly CANSIM 051-0001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2021-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Newfoundland and Labrador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Both sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age group 3 5,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,
,Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"530,854","539,124","545,561","549,604","556,496","562,639","565,348","567,639","570,075","572,759","575,302","573,795","579,164","580,065","579,275","576,306","575,242","574,982","576,551","577,368","579,644","580,109","579,977","574,466","567,397","559,698","550,911","539,843","533,329","527,966","522,046","519,481","518,459","517,423","514,332","510,592","509,055","511,581","516,751","522,009","524,999","526,345","527,114","528,159","528,117","529,426","528,249","525,560","523,427","521,364","520,553",,All ages
0 to 4 years,"62,136","61,775","61,704","60,808","59,671","57,969","56,124","54,681","52,984","51,477","49,448","48,076","47,380","46,293","44,725","43,450","41,892","40,457","39,146","38,492","37,635","37,021","36,277","34,961","32,832","30,875","29,407","28,030","26,983","26,312","25,381","24,727","24,362","24,062","23,448","23,038","23,088","23,498","24,165","24,714","24,827","24,457","23,979","23,636","23,124","22,885","22,653","22,012","21,129","20,351","19,556",,530854
5 to 9 years,"68,192","67,943","66,763","65,418","64,012","63,153","62,091","60,825","59,582","58,285","56,938","54,677","53,037","51,435","49,986","48,275","46,918","45,973","45,228","44,269","43,241","41,921","40,454","38,865","37,916","36,679","35,164","33,594","32,275","30,497","29,131","28,229","27,451","26,814","26,414","25,776","25,340","25,214","25,260","25,012","25,162","25,269","25,412","25,612","25,921","25,946","25,489","24,750","24,137","23,349","22,964",,539124
10 to 14 years,"65,658","66,115","66,657","67,039","67,554","67,281","67,149","66,339","64,971","63,068","61,704","61,036","60,448","59,057","57,507","55,695","54,190","52,546","51,003","49,322","47,685","46,894","46,198","45,126","43,784","42,350","40,558","38,663","37,033","36,025","34,932","34,150","33,239","32,185","30,537","29,293","28,621","28,227","27,906","27,633","27,127","26,885","26,634","26,512","26,084","26,047","25,920","25,941","25,993","26,170","26,050",,545561
15 to 19 years,"60,591","61,131","61,114","60,947","61,591","63,065","62,461","62,011","62,342","63,091","63,831","62,390","62,029","61,003","59,715","58,754","57,605","56,625","55,973","55,384","54,633","52,723","51,042","49,343","47,799","45,958","44,221","42,648","41,826","40,843","39,763","38,307","36,971","35,787","35,088","34,119","33,535","32,882","32,301","31,192","30,375","29,526","28,957","28,506","28,298","27,994","27,879","27,602","27,387","26,975","26,567",,549604
20 to 24 years,"46,505","48,276","49,971","51,301","52,733","53,416","53,712","53,909","53,854","53,466","53,142","52,617","54,121","54,753","54,835","53,559","52,921","52,168","51,583","50,168","50,450","50,618","50,156","48,413","46,294","44,164","41,880","39,109","37,593","36,412","35,599","35,265","34,949","34,864","33,901","32,850","31,888","31,761","31,717","32,420","32,422","32,008","31,412","30,774","29,678","29,357","28,974","28,685","28,720","28,941","28,863",,556496
25 to 29 years,"36,171","39,158","41,454","43,299","45,891","47,231","47,864","48,602","49,364","49,969","50,204","49,995","50,684","50,577","50,161","49,416","49,263","49,201","49,389","49,585","49,365","48,749","48,016","46,287","44,114","42,008","40,141","37,866","35,883","34,125","32,308","31,335","31,061","30,703","30,075","29,267","28,828","29,161","29,960","30,749","31,180","30,954","30,632","30,212","30,251","30,210","29,987","29,390","28,813","27,952","27,718",,562639
30 to 34 years,"28,221","29,246","30,565","31,790","33,391","36,372","38,894","40,709","42,661","45,042","46,108","46,306","47,353","47,981","48,442","48,487","48,626","48,654","48,667","48,636","48,894","48,832","48,750","47,961","47,118","45,762","44,263","42,214","40,504","38,980","37,349","36,266","35,293","34,279","33,239","32,150","31,236","31,078","31,091","31,210","31,182","31,225","31,159","31,257","30,973","30,867","30,324","29,545","28,925","28,825","28,813",,565348
35 to 39 years,"25,863","26,078","26,061","26,379","27,072","27,579","28,443","29,844","31,104","32,490","35,285","37,637","39,834","41,672","43,602","44,272","44,838","45,604","46,595","47,339","47,796","48,059","48,300","47,835","47,280","46,928","46,122","45,103","44,432","43,902","42,853","42,010","41,184","40,127","38,826","37,582","36,651","35,924","35,512","35,217","34,542","33,768","33,291","32,729","32,230","31,798","31,309","30,793","30,561","30,080","29,880",,567639
40 to 44 years,"24,403","24,382","24,742","24,790","24,803","24,950","25,137","25,034","25,734","26,529","27,201","27,842","29,266","30,370","31,562","34,025","36,448","38,342","40,254","42,385","43,479","44,302","45,206","45,738","46,022","45,978","45,767","45,259","44,814","44,414","44,191","43,895","43,675","43,540","43,358","42,662","41,705","40,937","40,162","39,403","38,832","38,388","37,560","36,920","36,273","35,335","34,051","33,052","32,118","31,389","30,927",,570075
45 to 49 years,"23,261","23,204","23,049","23,111","23,665","23,420","23,335","23,841","23,949","23,857","23,906","24,107","24,252","24,954","25,433","25,775","26,560","27,913","29,221","30,523","33,215","35,672","37,635","39,432","41,311","41,985","42,559","42,886","43,392","43,698","43,565","43,606","43,706","43,460","43,067","42,881","42,752","42,690","42,883","43,015","42,549","42,325","41,866","41,088","40,290","39,744","39,041","37,881","36,801","35,700","34,556",,572759
50 to 54 years,"22,125","22,730","22,935","22,570","21,762","22,218","22,158","21,981","22,272","22,869","22,736","22,650","22,949","22,952","22,860","22,980","23,093","23,251","23,919","24,497","25,158","25,988","27,175","28,293","29,350","31,932","34,180","35,935","37,664","39,464","39,982","40,568","41,228","41,932","42,455","42,515","42,614","42,667","42,780","42,961","43,224","43,449","43,605","43,760","43,864","43,501","42,861","42,058","41,090","40,159","39,411",,575302
55 to 59 years,"19,952","19,958","20,033","19,986","20,569","20,958","21,513","21,738","21,350","20,642","21,080","21,016","21,036","21,280","21,772","21,577","21,518","21,804","21,907","21,937","22,010","22,218","22,532","23,121","23,608","24,081","24,815","25,967","27,150","28,236","30,604","32,878","34,832","36,597","38,289","38,903","39,463","40,166","41,175","41,935","42,356","42,640","43,022","43,198","43,252","43,549","43,477","43,405","43,232","43,009","42,598",,573795
60 to 64 years,"15,317","16,183","16,991","17,932","18,351","18,248","18,379","18,611","18,806","19,384","19,666","20,164","20,422","20,092","19,314","19,710","19,680","19,731","19,950","20,408","20,349","20,391","20,740","20,885","20,952","21,006","21,152","21,335","21,882","22,420","23,033","23,857","25,112","26,385","27,707","30,060","32,225","34,148","36,045","38,035","38,898","39,494","40,173","41,061","41,661","42,007","42,244","42,352","42,300","42,283","42,464",,579164
65 to 69 years,"11,369","11,472","11,674","12,192","12,949","13,901","14,669","15,379","16,111","16,550","16,763","16,997","17,008","17,171","17,649","17,882","18,338","18,465","18,323","17,706","18,169","18,127","18,120","18,307","18,682","18,631","18,658","18,948","19,123","19,238","19,231","19,546","19,915","20,542","21,207","21,932","22,714","23,869","25,143","26,508","28,916","31,209","32,958","34,559","36,360","37,160","37,784","38,447","39,170","39,645","39,982",,580065
70 to 74 years,"8,848","8,937","9,131","9,240","9,457","9,373","9,555","9,829","10,363","11,096","11,957","12,516","13,154","13,764","14,206","14,218","14,457","14,537","14,696","15,201","15,436","15,923","16,090","15,947","15,424","15,819","15,797","15,736","15,963","16,342","16,327","16,351","16,659","16,901","17,060","17,291","17,675","18,123","18,778","19,376","20,082","20,707","21,635","22,686","23,741","26,016","28,096","29,912","31,498","33,165","34,132",,579275
75 to 79 years,"6,265","6,429","6,444","6,395","6,446","6,723","6,851","7,052","7,209","7,338","7,317","7,542","7,778","8,191","8,752","9,340","9,732","10,275","10,900","11,292","11,407","11,465","11,554","11,662","12,098","12,379","12,798","12,862","12,748","12,322","12,696","12,829","12,860","13,109","13,320","13,327","13,442","13,786","14,092","14,384","14,591","14,986","15,443","15,866","16,208","16,665","17,331","18,275","19,387","20,480","22,491",,576306
80 to 84 years,"3,625","3,668","3,770","3,828","3,953","4,031","4,190","4,279","4,350","4,394","4,669","4,719","4,817","4,915","5,022","5,007","5,192","5,357","5,663","5,994","6,461","6,814","7,199","7,633","7,897","7,919","7,928","8,002","8,124","8,546","8,727","9,087","9,195","9,109","8,958","9,266","9,286","9,362","9,639","9,873","10,035","10,162","10,405","10,645","10,676","10,899","11,263","11,667","12,087","12,598","13,040",,575242
85 to 89 years,"1,765","1,834","1,802","1,833","1,800","1,860","1,932","2,031","2,101","2,251","2,346","2,414","2,465","2,415","2,484","2,631","2,668","2,729","2,761","2,862","2,790","2,886","2,985","3,146","3,415","3,728","3,911","4,055","4,243","4,413","4,451","4,538","4,616","4,761","5,051","5,266","5,525","5,548","5,504","5,533","5,675","5,752","5,821","5,944","6,015","6,089","6,224","6,383","6,571","6,652","6,812",,574982
90 to 94 years,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,564","1,665","1,755","1,854","1,877","1,923","1,939","2,011","2,111","2,267","2,410","2,497","2,488","2,478","2,459","2,603","2,549","2,605","2,677","2,755","2,815",,576551
95 to 99 years,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,313,321,348,372,423,440,471,465,460,495,546,556,575,618,652,655,695,692,707,761,797,,577368
100 years and over,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46,51,48,40,32,51,57,64,67,77,68,88,87,98,107,99,98,113,124,125,117,,579644
,Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580109
Median age,20.9,21.2,21.6,21.9,22.3,22.7,23.2,23.7,24.2,24.7,25.3,25.8,26.2,26.7,27.3,27.9,28.4,29,29.6,30.2,30.7,31.2,31.8,32.5,33.3,34.1,35,35.9,36.7,37.4,38.1,38.8,39.4,40,40.7,41.3,41.9,42.3,42.6,43,43.4,43.8,44.3,44.7,45.2,45.6,46,46.5,47,47.4,47.8,,579977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574466
Symbol legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567397
.., not available for a specific reference period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559698
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550911
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539843
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533329
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527966
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522046
1,Postcensal estimates are based on the 2016 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated Indian reserves (IEIR)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IEIR) and postcensal estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519481
2,"Estimates are final intercensal up to 2015, final postcensal from 2016 to 2019, updated postcensal for 2020 and preliminary postcensal for 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518459
3,Data for persons aged 90 to 100 years and over will be available from 2001.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517423
4,"The population growth, which is used to calculate population estimates, is comprised of the natural growth (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514332
5,Age at last birthday in years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510592
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511581
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516751
"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1st, by age and sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522009
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526345
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525560
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520553
